timestamp,open,high,low,close,volume
2024-01-01 00:00:00,30027.08,30039.05,30007.06,30009.17,2785
2024-01-01 00:15:00,30044.18,30074.05,30026.1,30057.14,1781
2024-01-01 00:30:00,30040.04,30054.79,30038.39,30039.88,1455
2024-01-01 00:45:00,29901.21,29930.24,29885.78,29919.26,2528
2024-01-01 01:00:00,29951.53,29973.48,29933.89,29972.1,1107
2024-01-01 01:15:00,29984.42,30019.02,29977.47,30002.53,1753
2024-01-01 01:30:00,29983.29,29995.92,29947.27,29962.16,536
2024-01-01 01:45:00,29977.37,29979.24,29963.4,29977.56,1296
2024-01-01 02:00:00,29941.59,29947.64,29903.8,29905.31,1302
2024-01-01 02:15:00,30092.98,30117.98,30075.49,30100.33,1074
2024-01-01 02:30:00,29967.57,29968.07,29936.4,29949.75,798
2024-01-01 02:45:00,29870.35,29891.66,29865.12,29884.73,2859
2024-01-01 03:00:00,29986.61,29998.69,29914.89,29929.36,2005
2024-01-01 03:15:00,30029.2,30044.73,30005.28,30007.93,1317
2024-01-01 03:30:00,29965.61,29973.28,29931.42,29944.49,835
2024-01-01 03:45:00,29926.77,29943.87,29845.94,29852.44,2068
2024-01-01 04:00:00,30017.55,30028.67,30004.0,30013.4,1221
2024-01-01 04:15:00,29916.99,29921.04,29895.11,29908.24,1504
2024-01-01 04:30:00,29992.88,30025.15,29982.85,30022.4,2804
2024-01-01 04:45:00,30076.19,30082.18,30046.91,30053.65,2828
2024-01-01 05:00:00,29985.45,29988.89,29948.8,29962.2,2925
2024-01-01 05:15:00,29942.64,29960.09,29929.13,29945.12,773
2024-01-01 05:30:00,30003.3,30025.93,29988.15,30007.64,2785
2024-01-01 05:45:00,30023.57,30040.81,30007.31,30021.91,872
2024-01-01 06:00:00,29915.24,29930.06,29854.96,29862.45,1916
2024-01-01 06:15:00,29994.83,30005.74,29956.69,29968.26,736
2024-01-01 06:30:00,29992.82,30011.7,29929.32,29939.53,2849
2024-01-01 06:45:00,29887.35,29896.65,29865.86,29884.3,1049
2024-01-01 07:00:00,30020.37,30028.43,29963.95,29969.38,555
2024-01-01 07:15:00,30049.97,30061.62,30013.14,30029.87,1711
